date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-07-09,BA,Serra Dourada,city,0,0,True,17386,2930303,,0.0
2020-07-09,BA,Serra Preta,city,58,1,True,14878,2930402,389.83734,0.0172
2020-07-09,BA,Serrinha,city,301,5,True,80861,2930501,372.24373,0.0166
2020-07-09,BA,Serrolândia,city,26,0,True,13397,2930600,194.0733,0.0
2020-07-09,BA,Simões Filho,city,1084,36,True,134377,2930709,806.68567,0.0332
2020-07-09,BA,Sítio do Quinto,city,40,0,True,9986,2930766,400.56079,0.0
2020-07-09,BA,Sobradinho,city,210,10,True,23191,2930774,905.52369,0.0476
2020-07-09,BA,Souto Soares,city,82,0,True,16979,2930808,482.94953,0.0
2020-07-09,BA,Tabocas do Brejo Velho,city,5,0,True,12518,2930907,39.94248,0.0
2020-07-09,BA,Tanhaçu,city,0,0,True,20403,2931004,,0.0
2020-07-09,BA,Tanque Novo,city,0,0,True,17366,2931053,,0.0
2020-07-09,BA,Tanquinho,city,40,1,True,7918,2931103,505.17808,0.025
2020-07-09,BA,Taperoá,city,98,0,True,21074,2931202,465.028,0.0
2020-07-09,BA,Tapiramutá,city,17,0,True,17010,2931301,99.94121,0.0
2020-07-09,BA,Teixeira de Freitas,city,1699,26,True,160487,2931350,1058.65273,0.0153
2020-07-09,BA,Teodoro Sampaio,city,22,0,True,7425,2931400,296.2963,0.0
2020-07-09,BA,Teofilândia,city,155,0,True,22518,2931509,688.33822,0.0
2020-07-09,BA,Teolândia,city,87,0,True,14943,2931608,582.21241,0.0
2020-07-09,BA,Terra Nova,city,85,1,True,13033,2931707,652.19059,0.0118
2020-07-09,BA,Tremedal,city,3,0,True,16394,2931806,18.29938,0.0
2020-07-09,BA,Tucano,city,56,1,True,50687,2931905,110.48198,0.0179
2020-07-09,BA,Uauá,city,60,0,True,24240,2932002,247.52475,0.0
2020-07-09,BA,Ubaíra,city,10,1,True,19895,2932101,50.26389,0.1
2020-07-09,BA,Ubaitaba,city,142,4,True,19056,2932200,745.17212,0.0282
2020-07-09,BA,Ubatã,city,170,2,True,27035,2932309,628.8145,0.0118
2020-07-09,BA,Uibaí,city,6,0,True,13887,2932408,43.20588,0.0
2020-07-09,BA,Umburanas,city,89,0,True,19222,2932457,463.01113,0.0
2020-07-09,BA,Una,city,71,1,True,19002,2932507,373.64488,0.0141
2020-07-09,BA,Urandi,city,134,2,True,16658,2932606,804.4183,0.0149
2020-07-09,BA,Uruçuca,city,317,14,True,20519,2932705,1544.9096,0.0442
2020-07-09,BA,Utinga,city,7,1,True,19178,2932804,36.50016,0.1429
2020-07-09,BA,Valença,city,685,21,True,96562,2932903,709.38879,0.0307
2020-07-09,BA,Valente,city,234,3,True,28473,2933000,821.83121,0.0128
2020-07-09,BA,Várzea da Roça,city,8,1,True,14104,2933059,56.7215,0.125
2020-07-09,BA,Várzea Nova,city,28,0,True,12697,2933158,220.52453,0.0
